企业名称,统一社会信用代码,成立年限,注册资本（统一人民币为单位）,实缴资本（统一人民币为单位）,经营状态,企业类型,组织类型,投资类型,企业规模,分支机构数量,分支机构名称,地址信息,投融资轮次,企业资质,法定代表人,注册号,组织机构代码,所属行业,经营范围,邮箱（工商信息）_x,邮箱（企业认证信息）,股东,联系电话,联系电话2,联系电话3,联系电话4,联系电话5,推荐电话
塑研（北京）医疗美容诊所有限公司,91110105MA01EXG49A,43373,500万元人民币,500万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,,无投融资信息,无特殊资质,徐嘉宁,110105026064731,MA01EXG49,门诊部（所）,许可项目：医疗美容服务；生活美容服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：护理机构服务（不含医疗服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,suyan20191026@163.com,,东台同正企业管理合伙企业（有限合伙）; 北京塑研创展科技有限公司,15910921290,13501093137,01087746411,19528882857,,
中民卫康（北京）医疗科技集团有限公司,91110105MA001HN72U,42304,5000万元人民币,117.7万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,微型企业,,无分支机构信息,,无投融资信息,小微企业,郑一挺,110105020095510,MA001HN72,其他技术推广服务,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；货物进出口；技术进出口；进出口代理；第一类医疗器械销售；第二类医疗器械销售；医院管理；企业管理咨询；企业管理；企业形象策划；软件开发；市场营销策划；项目策划与公关服务；养生保健服务（非医疗）；会议及展览服务；广告制作；广告发布；广告设计、代理；计算机系统服务；酒店管理；农副产品销售；食用农产品初加工。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第三类医疗器械经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,kjjkgyjj@163.com,,张晨; 蔡军; 郑一挺; 郑珵琛,010-85781560,85781560-802,18910131856,,,
北京悦通医疗器械有限责任公司,911101021013568587,34690,1200万元人民币,1200万元人民币,存续,有限责任公司,有限责任公司,法人独资,微型企业,,无分支机构信息,,无投融资信息,小微企业,周春兰,110102000690689,101356858,医疗用品及器材批发,一般项目：第一类医疗器械销售；第二类医疗器械销售；第一类医疗器械生产；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；货物进出口；技术进出口；进出口代理；计算机软硬件及辅助设备批发；软件开发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第二类医疗器械生产；第三类医疗器械生产；第三类医疗器械经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,zhangjinxiu@linhwa.com,,苏州林华医疗器械股份有限公司,010-89580587,68366709,68366716,15010622687,,
联合丽格（北京）医疗美容投资连锁集团股份有限公司,91110105057398590E,41214,31560万元人民币,31560万元人民币,存续,股份有限公司,其他股份有限公司,非上市,小型企业,,无分支机构信息,,D轮及以后,小微企业,李斌,110105015341608,057398590,投资与资产管理,一般项目：以自有资金从事投资活动；创业投资（限投资未上市企业）；第一类医疗器械销售；第一类医疗器械租赁；第二类医疗器械销售；第二类医疗器械租赁；市场调查（不含涉外调查）；企业管理咨询；企业管理；社会经济咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；专业设计服务；广告设计、代理；广告发布；会议及展览服务；化妆品批发；化妆品零售；服装服饰零售；针纺织品销售；日用品销售；技术进出口；进出口代理；货物进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第三类医疗器械经营；第三类医疗器械租赁；出版物零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,584895555@qq.com,,上海合圣企业管理服务中心（有限合伙）; 北京信德金石投资中心（有限合伙; 北京康丽联十企业管理服务中心（有限合伙）; 北京康联丽十企业管理服务中心（有限合伙）; 北京新氧万维科技咨询有限公司; 安吉恭赢股权投资合伙企业（有限合伙）; 康十医疗投资有限公司; 新芒（成都）股权投资基金合伙企业（有限合伙）; 海南三亚达晨投资有限公司; 深圳市财智创赢私募股权投资企业（有限合伙）; 深圳市达晨创鸿私募股权投资企业（有限合伙）; 珠海横琴招鑫一号创业投资合伙企业（有限合伙）; 芒果次元（珠海）股权投资基金（有限合伙）; 芜湖远川恒绣投资管理中心（有限合伙）; 芜湖远翔天旭投资管理中心（有限合伙）; 芜湖远通臻辉投资管理中心（有限合伙）; 重庆金浦医疗健康服务产业股权投资基金合伙企业（有限合伙）,16601107775,65066565,18600069117,010-65066565,,
北京华韩医疗美容医院有限公司,91110105764228646P,38161,200万元人民币,200万元人民币,存续,有限责任公司,有限责任公司,法人独资,中型企业,,无分支机构信息,,无投融资信息,无特殊资质,魏媛媛,110105007081599,764228646,专科医院,医疗美容科；美容外科；美容牙科；美容皮肤科；美容中医科；麻醉科；医学检验科；医学影像科；理发及美容服务；销售化妆品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,734335031@qq.com,,华韩医疗科学技术股份有限公司,67337777,87796632,67338888,13520614768,13691235391,
北京医华移动医疗科技有限公司,91110106MA005ALD1E,42496,5000万元人民币,4035万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,,无投融资信息,高新技术企业 | 科技型中小企业 | 小微企业,孙家权,110106021173319,MA005ALD1,其他科技推广服务业,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工业控制计算机及系统销售；软件开发；人工智能基础软件开发；人工智能应用软件开发；广告发布；医学研究和试验发展；数据处理和存储支持服务；社会经济咨询服务；健康咨询服务（不含诊疗服务）；数据处理服务；会议及展览服务；移动终端设备销售；计算机软硬件及辅助设备零售；计算机系统服务；软件销售；人工智能理论与算法软件开发；信息系统集成服务；物联网设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：基础电信业务；互联网信息服务；在线数据处理与交易处理业务（经营类电子商务）；第二类增值电信业务；食品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,171850881@qq.com,,张凤兰; 李敏; 江苏恩华药业股份有限公司; 王秀萍; 连欣,18810874865,65661257,010-65661257,010-65669767,01065661257,
北京市朝阳区医疗保障局,11110105MB1865700E,,,,存续,其他,机关,,,,无分支机构信息,北京市朝阳区曙光西里甲1号,无投融资信息,无特殊资质,,,,,,,,,,,,,,
惠每医疗管理咨询（北京）有限公司,91110105329597017M,42095,9100万元人民币,9100万元人民币,存续,港澳台投资,有限责任公司,台港澳法人独资,微型企业,,无分支机构信息,,无投融资信息,小微企业,陶宇,110000450283449,329597017,其他专业咨询与调查,医疗管理咨询；企业管理咨询；经济信息咨询；商务咨询；计算机技术服务、技术培训；会议服务；组织文化艺术交流活动（演出除外）。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,hr@huimeihealth.com,,惠每醫療健康管理有限公司,01056225855,15810037086,56225855,101-56225855,010-56225855,
首都医科大学附属北京朝阳医院,121100004006863122,,,,存续,其他,事业单位,,,,无分支机构信息,北京市朝阳区工人体育场南路8号,无投融资信息,无特殊资质,纪智礼,,,,为人民身体健康提供医疗与护理保健服务。预防保健科、全科医疗科、内科、外科、妇产科、妇女保健科、儿科、儿童保健科、眼科、耳鼻咽喉科、口腔科、皮肤科、医疗美容科精神科肿瘤科急诊医疗康复医学科麻醉科检验科病理科医学影像科中医科诊疗与护理医科大学生临床教学成人医科学历教育临床教学、临床实习医学博士生培养医学硕士生培养医学研究卫生医疗人员培训卫生技术人员继续教育保健与健康教育内科学呼吸专业疾病预防、医疗和科研工作。,,,,,,,,,1065070201
北京米兰柏羽丽都医疗美容医院有限公司,91110105562115088W,40430,4028.4万元人民币,,存续,有限责任公司,有限责任公司,法人独资,中型企业,,无分支机构信息,北京朝阳区慧忠里103号D座,无投融资信息,无特殊资质,杨谨睿,110105013207283,562115088,专科医院,美容科医疗服务。（市场主体依法自主选择经营项目，开展经营活动；美容科医疗服务依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,529601733@qq.com,,北京朗姿医疗管理有限公司,010-58396903,58396903,58396929,01058396903,,
国药集团医疗管理有限公司,91110113MA01AQ1Y8C,43172,20000万元人民币,20000万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,,无投融资信息,无特殊资质,孔令杰,110113024945268,MA01AQ1Y8,其他综合管理服务,一般项目：医院管理；第二类医疗器械销售；第一类医疗设备租赁；第一类医疗器械销售；化妆品批发；计算机软硬件及辅助设备批发；电子产品销售；会议及展览服务；货物进出口；技术进出口；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；健康咨询服务（不含诊疗服务）；机械设备销售；教育咨询服务（不含涉许可审批的教育培训活动）；信息咨询服务（不含许可类信息咨询服务）；市场营销策划；企业管理；日用品销售；消毒剂销售（不含危险化学品）；汽车销售；五金产品批发；玻璃仪器销售；物业管理；办公用品销售；电气设备销售；包装服务；电子元器件与机电组件设备销售；服装服饰批发；广告发布；广告设计、代理；广告制作；化工产品销售（不含许可类化工产品）；机械设备租赁；电子、机械设备维护（不含特种设备）；计算机及通讯设备租赁；计算机系统服务；皮革制品销售；家用电器销售；金属制品销售；普通货物仓储服务（不含危险化学品等需许可审批的项目）；软件开发；软件销售；食品添加剂销售；通用设备修理；润滑油销售；塑料制品销售；橡胶制品销售；文具用品批发；信息技术咨询服务；鞋帽批发；信息系统集成服务；组织文化艺术交流活动；租赁服务（不含许可类租赁服务）；针纺织品销售；专业保洁、清洗、消毒服务；病媒生物防制服务；病人陪护服务；残疾康复训练服务（非医疗）；养老服务；母婴生活护理（不含医疗服务）；单位后勤管理服务；卫生用品和一次性使用医疗用品销售；智能家庭消费设备销售；食品销售（仅销售预包装食品）；进出口代理；第二类医疗设备租赁。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第三类医疗器械经营；出入境检疫处理；道路货物运输（不含危险货物）；第三类医疗设备租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,huangbowei@sinopharm.com,,中国医疗器械有限公司; 中国医药投资有限公司; 山东海辰云浩投资管理有限公司,010-84298909,01084298909,,,,
北京宸山医疗美容诊所,91110105MA0076LB5W,42571,,,存续,其他,股份合作制,,,,无分支机构信息,北京市朝阳区新东路8号院3号楼1层1-010,无投融资信息,无特殊资质,李素平,110105021715591,MA0076LB5,门诊部（所）,许可项目：医疗美容服务；生活美容服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：美甲服务；养生保健服务（非医疗）；中医养生保健服务（非医疗）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,haplatic@163.com,,户士栋; 杨学良,13143377091,010-84682882,13693661665,13810485607,13781871917,
北京仁朴医疗设备有限公司,91110105MA04DR1L36,44417,500万元人民币,,存续,有限责任公司,有限责任公司,自然人独资,微型企业,,无分支机构信息,,无投融资信息,小微企业,刘啸坤,110105031636308,MA04DR1L3,医疗用品及器材批发,一般项目：第二类医疗器械销售；第一类医疗器械销售；卫生用品和一次性使用医疗用品销售；进出口代理；货物进出口；技术进出口；互联网销售（除销售需要许可的商品）；服装辅料销售；母婴用品销售；鞋帽零售；日用品销售；日用百货销售；针纺织品销售；文具用品零售；体育用品及器材零售；自行车及零配件批发；助动自行车、代步车及零配件销售；电动自行车销售；机械零件、零部件销售；家用电器销售；电子产品销售；家具销售；通讯设备销售；电工仪器仪表销售；橡胶制品销售；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；汽车零配件零售；化工产品生产（不含许可类化工产品）；金属材料销售；机械设备销售；国内贸易代理；销售代理；贸易经纪；计算机系统服务；企业管理；企业管理咨询；信息咨询服务（不含许可类信息咨询服务）；公共事业管理服务；会议及展览服务；组织文化艺术交流活动；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,,,刘啸坤,16619846939,,,,,
北京伊诺登医疗科技有限公司,91110105051431820L,41114,500万元人民币,500万元人民币,存续,有限责任公司,有限责任公司,自然人独资,微型企业,,无分支机构信息,北京市朝阳区望京星源国际B座1205,无投融资信息,小微企业,玄男喆,110105015106988,051431820,其他科技推广服务业,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；第一类医疗器械销售；第二类医疗器械销售；日用品销售；化妆品零售；货物进出口；技术进出口；进出口代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第三类医疗器械经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,yinuodeng@126.com,,玄男喆,010-56535607,010-64732002,010-53630971,010-53630970,13552820708,
德台曼医疗管理集团有限公司,91110304MA01DKY938,43301,5000万元人民币,,存续,有限责任公司,有限责任公司,自然人投资或控股,,,无分支机构信息,北京市朝阳区广顺北大街33号院1号楼10层1单元1101室,无投融资信息,小微企业,刘效全,110304025710859,MA01DKY93,其他组织管理服务,医院管理（不含诊疗活动）；健康咨询（须经审批的诊疗活动除外）；商务咨询；销售一类医疗器械、计算机软硬件及辅助设备；器械设备租赁；技术检测；新能源、环保技术开发、技术转让、技术咨询、技术推广、技术服务；货物进出口、代理进出口、技术进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,00000@qq.com,,刘效全; 王建玲,18910884383,,,,,
北京民讯医疗技术有限公司,91110108358325715Q,42256,2700万元人民币,303.3万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,微型企业,,无分支机构信息,,无投融资信息,小微企业,叶碧青,110108019829305,358325715,其他技术推广服务,技术推广服务；经济贸易咨询；企业管理咨询；医院管理（不含诊疗活动）；机械设备租赁（不含汽车租赁）；销售医疗器械Ⅰ、Ⅱ类、日用品、针纺织品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,305233049@qq.com,,叶碧青; 郭旭光,01085888985,010-85888832,010-85888985,,,
北京愉悦医疗美容医院有限公司,91110105MA017QYW5U,42997,1326.5万元人民币,1326.5万元人民币,存续,有限责任公司,其他有限责任公司,,小型企业,,无分支机构信息,,股权融资,无特殊资质,吴立宁,110105024169257,MA017QYW5,专科医院,美容科医疗服务。（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,1070420392@qq.com,,北京贝利卡多商贸有限公司; 宁波梅山保税港区坤上资产管理有限公司; 珠海怀瑾投资有限公司,13167507650,58140121,53579639,17150019802,010-80698035,
北京八大处整形医疗美容医院有限责任公司,91110105MA004CUK64,42453,3000万元人民币,3000万元人民币,存续,有限责任公司,有限责任公司,法人独资,小型企业,,无分支机构信息,北京市朝阳区安立路甲54号,无投融资信息,无特殊资质,宗宪磊,110105020906316,MA004CUK6,专科医院,美容科医疗服务；销售医疗器械I类、日用品、服装、化妆品；技术开发、技术推广、技术转让、技术咨询、技术服务；教育咨询；会议服务；健康咨询（须经审批的诊疗活动除外）。（市场主体依法自主选择经营项目，开展经营活动；美容科医疗服务依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,zhangxin@yikezhangxin.com,,北京八大处整形医疗科技集团有限公司,64928699,88772029,,,,
北京颜续医疗美容门诊部有限公司,91110105MA7F91R58R,44581,500万元人民币,500万元人民币,存续,有限责任公司,有限责任公司,自然人独资,微型企业,,无分支机构信息,北京市朝阳北路151号楼-1至2层内1-2层西侧,无投融资信息,无特殊资质,董晶娜,110105032757168,MA7F91R58,门诊部（所）,医疗美容服务；生活美容服务；第三类医疗器械经营；市场调查；企业管理咨询；设计、制作、代理、发布广告；承办展览展示活动；会议服务；电脑动画设计；技术开发、技术咨询、技术转让、技术推广、技术服务；组织文化艺术交流活动（不含演出）；销售服装、日用品、针纺织品、I、II类医疗器械、化妆品、工艺品；医学研究（不含诊疗活动）；医院管理（不含诊疗活动）；物业管理；货物进出口、技术进出口；租赁I、II、III类医疗器械。（市场主体依法自主选择经营项目，开展经营活动；医疗美容服务、生活美容服务、第三类医疗器械经营以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,16210417969@163.com,,邓丽,56464849,13801279675,,,,
北京易康医疗投资管理有限公司,911101050981655820,41746,1250万元人民币,1250万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,,,无分支机构信息,北京易康医疗投资管理有限公司,无投融资信息,小微企业,赵玉华,110105017063047,098165582,投资与资产管理,投资管理；投资咨询；企业管理咨询；企业策划；资产管理；销售医疗器械（I类）。（'1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益'；企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,ekang@ekanghealthcare.com,,兰敏华; 北京联合易康医疗技术合伙企业（有限合伙）; 宁波海思汇睿医疗投资合伙企业（有限合伙）; 戚积松; 赵玉华,64986679,01053380976,010-53380976,010-64986679,,
士卓曼（北京）医疗器械贸易有限公司,911101055548002536,40357,7029万元人民币,7029万元人民币,存续,外商投资,有限责任公司,外国法人独资,小型企业,,无分支机构信息,北京市朝阳区东三环北路27号嘉铭中心B座三层,无投融资信息,无特殊资质,罗国健,110000450141543,554800253,其他未列明批发业,许可项目：第三类医疗器械经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：第二类医疗器械销售；第一类医疗器械销售；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；电子产品销售；机械设备销售；化工产品销售（不含许可类化工产品）；通讯设备销售；五金产品批发；仪器仪表销售；化妆品批发；文具用品批发；日用品批发；塑料制品销售；信息技术咨询服务；计算机系统服务；专业设计服务；图文设计制作；日用电器修理；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息咨询服务（不含许可类信息咨询服务）；货物进出口；技术进出口；进出口代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,wendy.jiang@straumann.com,,士卓曼股份有限公司,010-57756500,57756555,010-57756555,,,
北京玖英特医疗科技有限公司,91110105318332128F,41981,1100万元人民币,450万元人民币,存续,港澳台投资,有限责任公司,港澳台投资、非独资,微型企业,,无分支机构信息,,天使轮,小微企业,史武成,110105018280026,318332128,其他技术推广服务,技术推广服务；企业管理咨询；健康咨询（须经审批的诊疗活动除外）；预防保健服务（不含诊疗活动）；应用软件服务（不含医用软件）；基础软件服务；医学研究（不含诊疗活动）；设计、制作、代理、发布广告；会议服务；组织文化艺术交流活动（不含演出）；展览展示服务；批发、零售体育用品；批发、零售食品。（该企业于2018年2月7日前为内资企业，于2018年2月7日变更为外商投资企业；市场主体依法自主选择经营项目，开展经营活动；批发、零售食品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,fn@jiujiumed.org,,史武成; 李潇萌; 王栋; 珠海元滨投资有限公司; 珠海横琴天医医疗管理有限公司,85758791,010-67726636,010-85758791,010-85758971,,
欧姆龙医疗器械（北京）有限公司,91110105067273687L,41391,2000万元人民币,2000万元人民币,存续,外商投资,有限责任公司,外商投资企业与内资合资,中型企业,,无分支机构信息,,无投融资信息,无特殊资质,赵耀,110105015835271,067273687,医疗用品及器材批发,销售III类医疗器械；批发医疗器械一类、家用电器、机械设备、仪器仪表、化工产品（不含危险化学品）；经济贸易咨询；翻译服务；技术推广服务；货物进出口；租赁医疗器械；会议服务；承办展览展示活动；销售计算机、软件及辅助设备、II类医疗器械、日用品、通讯设备、电子产品。（企业依法自主选择经营项目，开展经营活动；以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,yrlian@gc.omron.com,,北京百世和泰医疗器械有限公司; 欧姆龙健康医疗（中国）有限公司,010-8472-0008,010-84720008,,,,
北京丽合医疗美容医院有限公司,91110105397102864W,41796,500万元人民币,500万元人民币,存续,有限责任公司,其他有限责任公司,,中型企业,,无分支机构信息,朝阳区将台西路18号,无投融资信息,无特殊资质,马彦波,110105017355406,397102864,专科医院,许可项目：医疗美容服务；生活美容服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：化妆品零售；化妆品批发；卫生用品和一次性使用医疗用品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,936622925@qq.com,,上海丽合医院管理有限公司; 赵静,15321975070,01064330888,13141346616,18203871786,,
千屹联合医疗信息技术（北京）有限公司,91110105MA001XXW46,42326,814万元人民币,,存续,有限责任公司,有限责任公司,自然人投资或控股,微型企业,,无分支机构信息,,无投融资信息,小微企业,朱红林,110105020204625,MA001XXW4,其他技术推广服务,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；日用品批发；企业形象策划；广告发布；广告设计、代理；广告制作；化妆品批发；会议及展览服务；体育健康服务；远程健康管理服务；软件销售；数据处理服务；健康咨询服务（不含诊疗服务）；企业管理；日用杂品销售；计算机系统服务；软件开发；医院管理；化妆品零售；第二类医疗器械销售；第一类医疗器械销售；互联网销售（除销售需要许可的商品）；个人互联网直播服务；养生保健服务（非医疗）；食品互联网销售（仅销售预包装食品）；保健食品（预包装）销售；食品销售（仅销售预包装食品）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：出版物零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,zhangmin@lhyiliao.com,,朱红林; 杭州千屹华优股权投资合伙企业（有限合伙）; 杭州千屹华融股权投资合伙企业（有限合伙）,01059273277,18911090738,01059273289,01058235070,01064983372,
北京泊润医疗美容诊所有限公司,91110105MA01AL6X88,43164,310万元人民币,,存续,有限责任公司,有限责任公司,法人独资,微型企业,,无分支机构信息,,无投融资信息,无特殊资质,陈东浪,110105024911573,MA01AL6X8,门诊部（所）,美容科医疗服务；出租办公用房；物业管理；市场调查；企业管理咨询；技术开发、技术转让、技术咨询、技术服务；会议服务；承办展览展示活动；销售化妆品。（市场主体依法自主选择经营项目，开展经营活动；美容科医疗服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,1912448799@qq.com,,广州梵悦医疗投资集团有限公司,010-51077822,13810888589,13011182175,,,
北京市朝阳区医疗卫生工会,81110105K001171598,33031,,,存续,其他,基层工会,,,,无分支机构信息,北京市朝阳区六里屯甜水园东里甲一号,无投融资信息,无特殊资质,刘政华,朝工组字[2023]12号,,,,,,,,,,,,
北京市朝阳区紧急医疗救援中心,121101054008353655,,,,存续,其他,事业单位,,,,无分支机构信息,北京市朝阳区甜水园东里甲1号南院,无投融资信息,无特殊资质,刘艳俊,,,,为急症病患者提供急救医疗服务。,,,,,,,,,
北京市朝阳区医疗机构管理中心工会,8111010505560547XH,39276,,,存续,其他,基层工会,,,,无分支机构信息,北京市朝阳区通惠家园惠生园19号,无投融资信息,无特殊资质,刘雅宁,朝卫工【2024】组第85号,,,"依照法律规定维护职工合法权益,通过开展民主决策、管理和监督,保障职工民主权利实现;教育职工提高素质,积极参与经济建设。",,,,,,,,,
北京市朝阳区医疗保障局工会,81110105MCL245448U,43769,,,存续,其他,基层工会,,,,无分支机构信息,北京市朝阳区第三置业大厦D座五层,无投融资信息,无特殊资质,杨小朋,朝工联字【2019】59号,,,,,,,,,,,,
北京市朝阳区医疗保险事务管理中心,1211010575417631XK,,,,存续,其他,事业单位,,,,无分支机构信息,北京市朝阳区管庄周家井世通国际大厦E座8-10层,无投融资信息,无特殊资质,冯霞,,,,本区参保人、离休人员、征地超转人员、退养人员及特困救助人员医疗保险、生育保险待遇、医疗救助待遇审核结算支付；城乡居民基本医疗保险、征地超转人员参保登记；医疗保险服务协议的制定完善和实施；医保医师管理与指导；监控医疗保障基金使用并对违规行为进行监督管理；门诊特殊病待遇和外转医院的备案，受理异地安置特殊业务申请；医疗保障业务咨询和医疗待遇信息查询等服务。,,,,,,,,,
史赛克（北京）医疗器械有限公司朝阳分公司,91110105318351724D,41817,,,存续,其他,分公司,,,,无分支机构信息,,无投融资信息,小微企业,马利达,110000450261397,318351724,其他综合管理服务,从事总公司经营范围内的业务联络及咨询服务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,chaoyu@vip.sina.com,,,010-85413100,010-85209229,010-59241180,13601145514,010-85209000,
北京市朝阳区紧急医疗救援中心工会,8111010509535218X3,42845,,,存续,其他,基层工会,,,,无分支机构信息,北京市朝阳区甜水园东里甲1号南院,无投融资信息,无特殊资质,刘军,01114000587,,,"依照法律规定维护职工合法权益,通过开展民主决策、管理和监督,保障职工民主权利实现;教育职工提高素质,积极参与经济建设。",,,,,,,,,
北京美众医疗设备有限公司朝阳办事处,91110105MA059M4228,34104,,,存续,其他,办事处,,,,无分支机构信息,,无投融资信息,无特殊资质,吴三连,B00278,MA059M422,专用设备制造业,有关本公司生产销售电子医疗设备及配套的零部件业务的联络工作。,,,,,,,,,
北京市朝阳区耳悦之声医疗器械销售有限公司,91110105MAEXQQMN3Y,45939,2万元人民币,,存续,有限责任公司,有限责任公司,法人独资,,,无分支机构信息,,无投融资信息,无特殊资质,娄瑞卿,110105045732927,MAEXQQMN3,医疗用品及器材零售,一般项目：第二类医疗器械销售；电子产品销售；电池销售；电池零配件销售；日用家电零售；日用杂品销售；日用品销售；家用电器销售；家用电器零配件销售；家具零配件销售；日用化学产品销售；消毒剂销售（不含危险化学品）；卫生用品和一次性使用医疗用品销售；第一类医疗器械销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；互联网销售（除销售需要许可的商品）；电子测量仪器销售；电子元器件零售；网络技术服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,,,西藏自然之声声学科技有限公司,,,,,,
